epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.6875,1.096303939819336,,
0,99,0.8125,0.6818671822547913,,
0,149,0.75,1.128093957901001,,
0,199,0.625,0.7478206157684326,,
0,249,0.8125,0.3880680203437805,,
0,299,0.9375,0.24658536911010742,,
0,349,0.875,0.3651256859302521,,
0,399,0.9375,0.2236168533563614,,
0,449,0.9375,0.1326202154159546,,
0,499,0.9375,0.0937214344739914,,
0,549,0.9375,0.2509785294532776,,
0,599,0.875,0.563814103603363,,
0,649,0.9375,0.20867425203323364,,
0,699,1.0,0.0032908618450164795,,
0,749,1.0,0.11756570637226105,,
0,799,0.9375,0.12513776123523712,,
0,849,0.8125,0.6679394245147705,,
0,899,0.9375,0.09082192182540894,,
0,949,0.875,0.17634744942188263,,
0,999,1.0,0.030505508184432983,,
0,1049,0.9375,0.14561963081359863,,
0,1099,0.9375,0.07864704728126526,,
0,1149,0.9375,0.18060395121574402,,
0,1199,0.9375,0.11076389998197556,,
0,1249,0.875,0.1741265058517456,,
0,1250,,,0.9661169648170471,0.10326942056417465
