epoch,step,train_acc,train_loss
0,49,0.4375,1.355909824371338
0,99,0.6875,1.0305442810058594
0,149,0.6875,1.0323162078857422
0,199,0.6875,0.7673683166503906
0,249,0.5,1.5415147542953491
0,299,0.5,1.7158124446868896
0,349,0.8125,0.55384761095047
0,399,0.9375,0.34455448389053345
0,449,0.75,0.7353274822235107
0,499,0.75,0.6068136692047119
0,549,0.875,0.22327518463134766
0,599,0.875,0.33231955766677856
0,649,0.8125,0.7091923356056213
0,699,0.9375,0.1103418618440628
0,749,0.875,0.3837975263595581
0,799,0.8125,0.5913936495780945
0,849,1.0,0.017221704125404358
0,899,0.8125,0.6750516891479492
0,949,1.0,0.009524323046207428
0,999,0.8125,0.3629196882247925
0,1049,1.0,0.05448707193136215
